,wid,agegroup,gender,hand,thirdgrade_usa,thirdgrade_usa_region,s1_dae,s1_time,s2_dae,s2_time,s3_dae,s3_time
0,5,18-24,male,right,True,midwest,0,latemorning,21,earlyafternoon,42,latemorning
1,133,25-40,female,right,True,west,0,latemorning,31,earlyafternoon,77,earlymorning
2,62,41-60,female,right,True,midwest,0,lateevening,54,latemorning,98,earlyevening
3,87,41-60,female,right,True,midwest,0,earlyafternoon,27,latemorning,50,earlymorning
4,261,25-40,Male,Right,True,Midwest,0,Early Morning,27,Early Evening,62,Early Afternoon
5,175,18-24,Female,Left,True,Midwest,0,Late Evening,78,Late Morning,99,Late Morning
6,122,18-24,female,right,True,midwest,0,earlyafternoon,40,earlyafternoon,86,lateevening
7,29,41-60,female,right,True,midwest,0,earlymorning,47,lateevening,97,earlymorning
8,70,25-40,male,right,True,midwest,0,earlyafternoon,21,earlyafternoon,58,latemorning
9,284,25-40,Female,Right,True,Midwest,0,Late Morning,24,Early Afternoon,49,Early Afternoon
10,43,41-60,male,right,True,midwest,0,earlymorning,70,earlyafternoon,93,earlymorning
11,82,41-60,male,right,True,midwest,0,lateafternoon,32,earlyafternoon,82,lateafternoon
12,314,18-24,Female,Right,True,Midwest,0,Early Afternoon,35,Early Afternoon,84,Late Evening
13,138,25-40,female,right,True,midwest,0,earlyafternoon,21,earlyafternoon,42,latemorning
14,11,18-24,male,right,True,midwest,0,earlyafternoon,21,earlyafternoon,58,latemorning
15,130,25-40,male,left,True,south,0,earlyafternoon,21,earlyafternoon,58,latemorning
16,142,25-40,female,right,True,midwest,0,latemorning,46,latemorning,79,earlyevening
17,33,41-60,female,right,True,midwest,0,earlyafternoon,34,earlymorning,83,earlyevening
18,249,25-40,Female,Right,True,Midwest,0,Late Afternoon,21,Late Afternoon,135,Early Evening
19,147,41-60,female,right,True,midwest,0,earlyafternoon,26,earlyafternoon,50,latemorning
20,86,41-60,female,right,True,midwest,0,lateevening,37,lateevening,72,lateevening
21,246,18-24,Female,Right,True,Midwest,0,Late Morning,22,Late Afternoon,84,Late Morning
22,95,41-60,female,right,True,midwest,0,lateevening,36,lateevening,95,lateafternoon
23,2,41-60,male,right,True,midwest,0,latemorning,53,latemorning,98,earlyafternoon
24,4,18-24,female,ambidextrous,True,,0,latemorning,21,earlyafternoon,44,earlymorning
25,71,25-40,male,right,True,south,0,earlyafternoon,21,earlyafternoon,58,latemorning
26,94,41-60,female,right,True,south,0,lateevening,44,lateevening,79,earlyevening
27,58,18-24,Female,Right,True,Midwest,0,Late Evening,72,Early Afternoon,101,Early Afternoon
28,135,25-40,female,right,False,,0,earlyafternoon,35,earlymorning,84,earlyafternoon
29,157,18-24,Male,Right,True,Midwest,0,Early Evening,25,Early Afternoon,58,Evening
30,26,18-24,male,right,True,midwest,0,latemorning,21,latemorning,45,earlyafternoon
31,201,25-40,Female,Right,True,West,0,Late Afternoon,40,Early Afternoon,107,Early Morning
32,66,18-24,male,right,True,midwest,0,earlyevening,42,lateevening,82,earlyevening
33,69,18-24,female,left,True,midwest,0,earlyafternoon,38,lateevening,61,latemorning
34,77,25-40,male,right,False,,0,lateevening,35,earlyafternoon,69,lateevening
