,id,score,avg_conf,text,wid,agegroup,gender,hand,thirdgrade_usa,thirdgrade_usa_region,s1_dae,s1_time,s2_dae,s2_time,s3_dae,s3_time
0,w0001_s01_pLND_r01,0.875,93.33622772749081,london,1,25-40,female,right,True,midwest,0.0,earlyafternoon,26.0,latemorning,47.0,earlyafternoon
1,w0001_s01_pLND_r02,0.8863636363636364,92.3417433346019,london,1,25-40,female,right,True,midwest,0.0,earlyafternoon,26.0,latemorning,47.0,earlyafternoon
2,w0001_s01_pLND_r03,0.8636363636363636,92.30936629351447,london,1,25-40,female,right,True,midwest,0.0,earlyafternoon,26.0,latemorning,47.0,earlyafternoon
3,w0001_s01_pPHR_r01,0.9285714285714286,97.85268456595284,phrase,1,25-40,female,right,True,midwest,0.0,earlyafternoon,26.0,latemorning,47.0,earlyafternoon
4,w0001_s01_pPHR_r02,0.9285714285714286,94.60088784354073,phrase,1,25-40,female,right,True,midwest,0.0,earlyafternoon,26.0,latemorning,47.0,earlyafternoon
5,w0001_s01_pPHR_r03,0.8571428571428572,94.62204360961914,phrase,1,25-40,female,right,True,midwest,0.0,earlyafternoon,26.0,latemorning,47.0,earlyafternoon
6,w0001_s01_pWOZ_r01,0.9242424242424242,94.10999895921394,woz,1,25-40,female,right,True,midwest,0.0,earlyafternoon,26.0,latemorning,47.0,earlyafternoon
7,w0001_s01_pWOZ_r02,0.9242424242424242,94.23694866806713,woz,1,25-40,female,right,True,midwest,0.0,earlyafternoon,26.0,latemorning,47.0,earlyafternoon
8,w0001_s01_pWOZ_r03,0.8787878787878788,93.09214129592434,woz,1,25-40,female,right,True,midwest,0.0,earlyafternoon,26.0,latemorning,47.0,earlyafternoon
9,w0001_s02_pLND_r01,0.8636363636363636,92.7126177188962,london,1,25-40,female,right,True,midwest,0.0,earlyafternoon,26.0,latemorning,47.0,earlyafternoon
10,w0001_s02_pLND_r02,0.8409090909090909,92.89605905869428,london,1,25-40,female,right,True,midwest,0.0,earlyafternoon,26.0,latemorning,47.0,earlyafternoon
11,w0001_s02_pLND_r03,0.8068181818181819,91.6519021771171,london,1,25-40,female,right,True,midwest,0.0,earlyafternoon,26.0,latemorning,47.0,earlyafternoon
